,categoria,titulo
53011,SAP,RV: Solicitud cambio grupo cuenta 16808236-3 Sergio Espinoza Delannays (93587)
53012,SAP,RE: CreaciÃ³n Carlos Diaz Hernandez (93820)
53030,SAP,RE: creaciÃ³n proveedor Criatian Veas (94716)
53060,SAP > Portal,AutorizaciÃ³n sobretiempos Natalia Lorca (94064)
53114,SAP,BORRAR DOCUMENTO PRELIMINAR (93541)
53362,SAP,RE: RevisiÃ³n stock sku 2207010 (95080)
54380,SAP,RE: SAP-DTE 92.580.000-7 (actualizar estado) (93797)
54720,SAP,Ingreso de ViÃ¡ticos (90452)
54924,SAP,VisualizaciÃ³n de documentos (93566)
55208,SAP > Portal,RE: Cambiar Status sistema / LIBERAR PEP /Solicitud orden de compra 823 (91344)
55217,SAP,SAP-DTE B. ESTADO CE (92378)
55245,SAP,RV: Cambiar Grupo cuenta ZEPL (92099)
55249,SAP,RV: Cambio Grupo Cuenta (92675)
55419,SAP > Portal,sistema de viÃ¡ticos (90717)
55522,SAP,SAP-DTE 76.235.529-9 en CE (82053)
55539,SAP,SAP-TI CE (87800)
56628,SAP,agregar Tx a roles de FM (91870)
56750,SAP,Proceso de ViÃ¡ticos No Arroja Numero SAP (91451)
57317,SAP,RE: SAP-DTE 96.806.980-2 (actualizar estado) (89723)
57322,SAP,RE: CreaciÃ³n Programa Inversiones CICENER/PMGD/2025 (90386)
57323,SAP,RE: CreaciÃ³n Programa Inversiones CICENER/PMGD/2025 (90393)
57333,SAP > Portal,"RV: error SAP, cuenta GFERNANP (91090)"
57362,SAP > Portal,Problema Beneficio Vacaciones (90478)
58115,SAP,RV: CreaciÃ³n de Proveedor .Claudio Estay YÃ¡Ã±ez (Cambiar Grupo Cuenta) (90042)
58705,SAP,RE: Solicitud cambio grupo cuenta a 2098000 y aprobaciÃ³n Desbloqueo 77468830-7 Lonza Hnos. Ltda. (88590)
58708,SAP,RV: Urgente solicitud aprobaciÃ³n desbloqueo 76483754-1 IngenierÃ­a ConstrucciÃ³n y Urbanizaciones ConcÃ³n SpA (89369)
59154,SAP,SAP-TI CS (88519)
59157,SAP,SOLICITA ACCESO A MANDANTE SAP QA 210 (85185)
59190,SAP,RE: Caso Globalvia F4200474/4269080 E2 (88991)
59867,SAP,RV: Diario 5000163457 cargado fuera de fecha (81654)
59872,SAP > Portal,RE: Consulta Programa (84869)
59874,SAP,SAP-DTE 76140370-2 en CS (86040)
59880,SAP,ERROR EN SISTEMA (87809)
59882,SAP,SAP-DTE TC (88128)
59891,SAP,RV: Acceso SAP // Ticket 87281// Carla Alejandra YaÃ±ez Diaz (88386)
59914,SAP,RE: Pep CIC 2025 LP (88635)
59923,SAP,Error en TransacciÃ³n SAP al configurar visualizaciÃ³n a Excel (84993)
60029,SAP,RV: Apertura y cierre masivo periodos contables (84435)
60030,SAP,RV: Solicitud aprobaciÃ³n desbloqueo 78177130-9 Acting Chile Ind y com. de Ingenieros Civiles Ltda. (85510)
60046,SAP,RV: creaciÃ³n proveedores / SERVICIO DE SALUD VIÃA DEL MAR QUILLOTA (87973)
60047,SAP,RE: FAVOR CAMBIO DE GRUPO ZNAC A ZCLI // Sres Monlux S.A. (87974)
60049,SAP,RV: INGRESO PROVEEDOR SRES AMC ENERGIA LTDA// cambio de GRUPO de ZNAC a ZCLI (88122)
60082,SAP,PROBLEMAS PARA CREAR PEP EN SAP (84573)
61777,SAP,RE: Consulta Error contabilizaciÃ³n - 10611182 (83537)
61865,SAP,RevisiÃ³n SAP CYANEZD tx Y_CHP_32000019 (85125)
62647,SAP,[SAP] - Revisar RFC de Unidades organizacionales (80951)
64584,SAP,"Re: [SQL] EjecuciÃ³n de query, servidor BD Smartstream SS65PROD (83175)"
65496,SAP,Cambio Clave SAP (82894)
65818,SAP,Problemas con SAP (80933)
67194,SAP,RE: AUTORIZACION ABM (81197)
69362,SAP,RV: Usuario no registrado Sap KNAVEAS (78789)
70079,SAP,RE: Actualizar direcciones centros TC para TMS en SAP PRD (Acreedores) (76976)
70454,SAP,AutorizaciÃ³n Para crear PEP (77363)
70751,SAP,SAP-DTE (77357)
70884,SAP,RE: Recordatorio sobre entrega de informaciÃ³n para prueba de la Matriz de Control Interno (77296)
71102,SAP,RV: Modificar Proveedor nacional // 5933729-7 RENATO ALEJANDRO GONZALEZ ESPINOSA (76678)
71321,SAP,Solicitud Perfiles SAP (76652)
71535,SAP,SAP-DTE CS (76500)
71564,SAP,Solicitud Permiso SAP PM avisos M4 (Urgente) (76376)
72122,SAP,AL PARECER MONITOR DETENIDO DE BB.MM. (76196)
77105,SAP,CAMBIOCLAVE EWM (71668)
77418,SAP,RE: Acceso SAP // Ticket 70623 // Marcelo Javier Gallardo Bustos (70989)
77635,SAP > Portal,RE: Informa estado solicitud cambio clave SAP (70806)
77851,SAP,RE: OC SIMANTEC (71240)
79101,SAP,Solicitud de incorporaciÃ³n a tabla de usuarios que contabilizan en periodo contable bloqueado (65514)
79108,SAP,RE: [GLPI #0065710] RV: [GLPI #0064073] Licencia SAP | Filiales Sur (68840)
79791,SAP,Problemas con SAP (67380)
79811,SAP,SAP TI - Cambio de estado SAP RE: CC RegularizaciÃ³n Factura 578246 IKEA (68776)
80016,SAP,RE: Acceso Sap trx ZMIRO (67958)
80111,SAP,Re: [GLPI #0068352] Problemas con SAP (68509)
80643,SAP,PROBLEMAS CON SAP (68496)
81454,SAP,Problemas correo SAP (67542)
81480,SAP,[SAP TI] â Cambio de estado SAP (66250)
81833,SAP,RE: Problems of SAP (66452)
82829,SAP,RE: Solicita RectificaciÃ³n de Folio Referencia (66090)
82963,SAP,RE: Cambio de estado factura (65934)
84131,SAP,RE: ASIGNACION ROL INVENTARIO EN MANDANTE 210 (63595)
84765,SAP,VISUALIZACION COTIZACION ORDEN DE COMPRA SAP (54540)
85700,SAP,Acceso a Sap (62988)
85943,SAP,"RE: [SM] Acceso SAP // SM 8000001421, Habilitar pagador 2 JALMUNA (62772)"
86218,SAP,RE: SAP para Zoro Cuevas (58806)
87605,SAP,Problema TX FF67 registro manual cartolas banco (46878)
87611,SAP,cambio de estado ''SAP TI'' (56273)
87617,SAP,Cambio de estado (SAP TI) (56826)
87619,SAP,RV: CreaciÃ³n de Aprobador en SAP usuario JGONZALC (57416)
87621,SAP,error sap (57490)
87622,SAP,Error SAP (57494)
87624,SAP,Problema ingresos en cuenta F-26 SAP (57499)
87657,SAP,RE: Ingreso OC (58264)
88058,SAP,CreaciÃ³n ID y Banco Propio BCI en LI (58461)
88422,SAP,AsignaciÃ³n TransacciÃ³n a ROL (58777)
88800,SAP,SAP (58976)
89449,SAP,Requerimiento Accionista - Listado de glosas - SAP TI (56562)
89452,SAP,CreaciÃ³n ID y Banco Propio CCB en CC y CE (57509)
89563,SAP,SAP-TI Consulta por liberaciÃ³n de OC (58340)
89879,SAP,RE: [GLPI #0058226] RE: Problemas para ingresar Netting LuzParral - SAP TI (58699)
90069,SAP,RE: solicita extensiÃ³n de distribuciÃ³n automÃ¡tica facturas CA (58422)
90117,SAP,RE: Aumento de PEP (58418)
90463,SAP,RE: Problemas para ingresar Netting LuzParral - SAP TI (58226)
90530,SAP,SAP TI- Solicitud ROL Aprobador Netting (56092)
90575,SAP,RE: [GLPI #0058023] cambio de clave mandante 210 de pruebas EWM (58135)
90782,SAP,Reemplazo Vacaciones - SAP - TI (58004)
90790,SAP,RE: Problemas para ingresar Netting LuzParral - SAP TI (58247)
90871,SAP,RV: Acceso transacciÃ³n FBL3N de SAP (57364)
90877,SAP,Desasociar factura SAP (57793)
90879,SAP,RE: Solicitud cambio grupo cta y desbloqueo 17972341-7 Francisco Javier Pizarro Pizarro (57818)
90880,SAP,RV: Problemas para ingresar Netting LuzParral - SAP TI (57831)
90882,SAP,RE: Solicita revisar ingreso referencia 1900313579 (57874)
90893,SAP,RV: DOCUMENTO SAP 1900313752 (58015)
91113,SAP,PROBLEMA DOCUMENTO INGRESADO POR MIRO CON IVA CF NEGATIVO EN TC (57413)
91124,SAP,"SAP - TI, Acceso Solution Manager GARAYA (57580)"
